drug_a (generic),drug_b (generic),severity,mechanism,clinical_action,source_note,source_url
warfarin,aspirin,major,Combined anticoagulant or antiplatelet effects increase gastrointestinal and systemic bleeding risk.,Avoid routine co-prescribing; use gastroprotection and close bleeding monitoring only when benefit clearly outweighs risk.,BNF Interactions A-Z: anticoagulant/NSAID or antiplatelet interaction; Beers 2023 Table 2/5 anticoagulant-NSAID bleeding caution.,https://bnf.nice.org.uk/interactions/warfarin/
warfarin,clopidogrel,major,Combined anticoagulant or antiplatelet effects increase gastrointestinal and systemic bleeding risk.,Avoid routine co-prescribing; use gastroprotection and close bleeding monitoring only when benefit clearly outweighs risk.,BNF Interactions A-Z: anticoagulant/NSAID or antiplatelet interaction; Beers 2023 Table 2/5 anticoagulant-NSAID bleeding caution.,https://bnf.nice.org.uk/interactions/warfarin/
warfarin,ibuprofen,major,Combined anticoagulant or antiplatelet effects increase gastrointestinal and systemic bleeding risk.,Avoid routine co-prescribing; use gastroprotection and close bleeding monitoring only when benefit clearly outweighs risk.,BNF Interactions A-Z: anticoagulant/NSAID or antiplatelet interaction; Beers 2023 Table 2/5 anticoagulant-NSAID bleeding caution.,https://bnf.nice.org.uk/interactions/warfarin/
warfarin,diclofenac,major,Combined anticoagulant or antiplatelet effects increase gastrointestinal and systemic bleeding risk.,Avoid routine co-prescribing; use gastroprotection and close bleeding monitoring only when benefit clearly outweighs risk.,BNF Interactions A-Z: anticoagulant/NSAID or antiplatelet interaction; Beers 2023 Table 2/5 anticoagulant-NSAID bleeding caution.,https://bnf.nice.org.uk/interactions/warfarin/
warfarin,naproxen,major,Combined anticoagulant or antiplatelet effects increase gastrointestinal and systemic bleeding risk.,Avoid routine co-prescribing; use gastroprotection and close bleeding monitoring only when benefit clearly outweighs risk.,BNF Interactions A-Z: anticoagulant/NSAID or antiplatelet interaction; Beers 2023 Table 2/5 anticoagulant-NSAID bleeding caution.,https://bnf.nice.org.uk/interactions/warfarin/
acenocoumarol,aspirin,major,Combined anticoagulant or antiplatelet effects increase gastrointestinal and systemic bleeding risk.,Avoid routine co-prescribing; use gastroprotection and close bleeding monitoring only when benefit clearly outweighs risk.,BNF Interactions A-Z: anticoagulant/NSAID or antiplatelet interaction; Beers 2023 Table 2/5 anticoagulant-NSAID bleeding caution.,https://bnf.nice.org.uk/interactions/acenocoumarol/
acenocoumarol,clopidogrel,major,Combined anticoagulant or antiplatelet effects increase gastrointestinal and systemic bleeding risk.,Avoid routine co-prescribing; use gastroprotection and close bleeding monitoring only when benefit clearly outweighs risk.,BNF Interactions A-Z: anticoagulant/NSAID or antiplatelet interaction; Beers 2023 Table 2/5 anticoagulant-NSAID bleeding caution.,https://bnf.nice.org.uk/interactions/acenocoumarol/
acenocoumarol,ibuprofen,major,Combined anticoagulant or antiplatelet effects increase gastrointestinal and systemic bleeding risk.,Avoid routine co-prescribing; use gastroprotection and close bleeding monitoring only when benefit clearly outweighs risk.,BNF Interactions A-Z: anticoagulant/NSAID or antiplatelet interaction; Beers 2023 Table 2/5 anticoagulant-NSAID bleeding caution.,https://bnf.nice.org.uk/interactions/acenocoumarol/
acenocoumarol,diclofenac,major,Combined anticoagulant or antiplatelet effects increase gastrointestinal and systemic bleeding risk.,Avoid routine co-prescribing; use gastroprotection and close bleeding monitoring only when benefit clearly outweighs risk.,BNF Interactions A-Z: anticoagulant/NSAID or antiplatelet interaction; Beers 2023 Table 2/5 anticoagulant-NSAID bleeding caution.,https://bnf.nice.org.uk/interactions/acenocoumarol/
acenocoumarol,naproxen,major,Combined anticoagulant or antiplatelet effects increase gastrointestinal and systemic bleeding risk.,Avoid routine co-prescribing; use gastroprotection and close bleeding monitoring only when benefit clearly outweighs risk.,BNF Interactions A-Z: anticoagulant/NSAID or antiplatelet interaction; Beers 2023 Table 2/5 anticoagulant-NSAID bleeding caution.,https://bnf.nice.org.uk/interactions/acenocoumarol/
apixaban,aspirin,moderate,Combined anticoagulant or antiplatelet effects increase gastrointestinal and systemic bleeding risk.,Avoid routine co-prescribing; use gastroprotection and close bleeding monitoring only when benefit clearly outweighs risk.,BNF Interactions A-Z: anticoagulant/NSAID or antiplatelet interaction; Beers 2023 Table 2/5 anticoagulant-NSAID bleeding caution.,https://bnf.nice.org.uk/interactions/apixaban/
apixaban,clopidogrel,moderate,Combined anticoagulant or antiplatelet effects increase gastrointestinal and systemic bleeding risk.,Avoid routine co-prescribing; use gastroprotection and close bleeding monitoring only when benefit clearly outweighs risk.,BNF Interactions A-Z: anticoagulant/NSAID or antiplatelet interaction; Beers 2023 Table 2/5 anticoagulant-NSAID bleeding caution.,https://bnf.nice.org.uk/interactions/apixaban/
apixaban,ibuprofen,major,Combined anticoagulant or antiplatelet effects increase gastrointestinal and systemic bleeding risk.,Avoid routine co-prescribing; use gastroprotection and close bleeding monitoring only when benefit clearly outweighs risk.,BNF Interactions A-Z: anticoagulant/NSAID or antiplatelet interaction; Beers 2023 Table 2/5 anticoagulant-NSAID bleeding caution.,https://bnf.nice.org.uk/interactions/apixaban/
apixaban,diclofenac,major,Combined anticoagulant or antiplatelet effects increase gastrointestinal and systemic bleeding risk.,Avoid routine co-prescribing; use gastroprotection and close bleeding monitoring only when benefit clearly outweighs risk.,BNF Interactions A-Z: anticoagulant/NSAID or antiplatelet interaction; Beers 2023 Table 2/5 anticoagulant-NSAID bleeding caution.,https://bnf.nice.org.uk/interactions/apixaban/
apixaban,naproxen,major,Combined anticoagulant or antiplatelet effects increase gastrointestinal and systemic bleeding risk.,Avoid routine co-prescribing; use gastroprotection and close bleeding monitoring only when benefit clearly outweighs risk.,BNF Interactions A-Z: anticoagulant/NSAID or antiplatelet interaction; Beers 2023 Table 2/5 anticoagulant-NSAID bleeding caution.,https://bnf.nice.org.uk/interactions/apixaban/
rivaroxaban,aspirin,moderate,Combined anticoagulant or antiplatelet effects increase gastrointestinal and systemic bleeding risk.,Avoid routine co-prescribing; use gastroprotection and close bleeding monitoring only when benefit clearly outweighs risk.,BNF Interactions A-Z: anticoagulant/NSAID or antiplatelet interaction; Beers 2023 Table 2/5 anticoagulant-NSAID bleeding caution.,https://bnf.nice.org.uk/interactions/rivaroxaban/
rivaroxaban,clopidogrel,moderate,Combined anticoagulant or antiplatelet effects increase gastrointestinal and systemic bleeding risk.,Avoid routine co-prescribing; use gastroprotection and close bleeding monitoring only when benefit clearly outweighs risk.,BNF Interactions A-Z: anticoagulant/NSAID or antiplatelet interaction; Beers 2023 Table 2/5 anticoagulant-NSAID bleeding caution.,https://bnf.nice.org.uk/interactions/rivaroxaban/
rivaroxaban,ibuprofen,major,Combined anticoagulant or antiplatelet effects increase gastrointestinal and systemic bleeding risk.,Avoid routine co-prescribing; use gastroprotection and close bleeding monitoring only when benefit clearly outweighs risk.,BNF Interactions A-Z: anticoagulant/NSAID or antiplatelet interaction; Beers 2023 Table 2/5 anticoagulant-NSAID bleeding caution.,https://bnf.nice.org.uk/interactions/rivaroxaban/
rivaroxaban,diclofenac,major,Combined anticoagulant or antiplatelet effects increase gastrointestinal and systemic bleeding risk.,Avoid routine co-prescribing; use gastroprotection and close bleeding monitoring only when benefit clearly outweighs risk.,BNF Interactions A-Z: anticoagulant/NSAID or antiplatelet interaction; Beers 2023 Table 2/5 anticoagulant-NSAID bleeding caution.,https://bnf.nice.org.uk/interactions/rivaroxaban/
rivaroxaban,naproxen,major,Combined anticoagulant or antiplatelet effects increase gastrointestinal and systemic bleeding risk.,Avoid routine co-prescribing; use gastroprotection and close bleeding monitoring only when benefit clearly outweighs risk.,BNF Interactions A-Z: anticoagulant/NSAID or antiplatelet interaction; Beers 2023 Table 2/5 anticoagulant-NSAID bleeding caution.,https://bnf.nice.org.uk/interactions/rivaroxaban/
dabigatran,aspirin,moderate,Combined anticoagulant or antiplatelet effects increase gastrointestinal and systemic bleeding risk.,Avoid routine co-prescribing; use gastroprotection and close bleeding monitoring only when benefit clearly outweighs risk.,BNF Interactions A-Z: anticoagulant/NSAID or antiplatelet interaction; Beers 2023 Table 2/5 anticoagulant-NSAID bleeding caution.,https://bnf.nice.org.uk/interactions/dabigatran/
dabigatran,clopidogrel,moderate,Combined anticoagulant or antiplatelet effects increase gastrointestinal and systemic bleeding risk.,Avoid routine co-prescribing; use gastroprotection and close bleeding monitoring only when benefit clearly outweighs risk.,BNF Interactions A-Z: anticoagulant/NSAID or antiplatelet interaction; Beers 2023 Table 2/5 anticoagulant-NSAID bleeding caution.,https://bnf.nice.org.uk/interactions/dabigatran/
dabigatran,ibuprofen,major,Combined anticoagulant or antiplatelet effects increase gastrointestinal and systemic bleeding risk.,Avoid routine co-prescribing; use gastroprotection and close bleeding monitoring only when benefit clearly outweighs risk.,BNF Interactions A-Z: anticoagulant/NSAID or antiplatelet interaction; Beers 2023 Table 2/5 anticoagulant-NSAID bleeding caution.,https://bnf.nice.org.uk/interactions/dabigatran/
dabigatran,diclofenac,major,Combined anticoagulant or antiplatelet effects increase gastrointestinal and systemic bleeding risk.,Avoid routine co-prescribing; use gastroprotection and close bleeding monitoring only when benefit clearly outweighs risk.,BNF Interactions A-Z: anticoagulant/NSAID or antiplatelet interaction; Beers 2023 Table 2/5 anticoagulant-NSAID bleeding caution.,https://bnf.nice.org.uk/interactions/dabigatran/
dabigatran,naproxen,major,Combined anticoagulant or antiplatelet effects increase gastrointestinal and systemic bleeding risk.,Avoid routine co-prescribing; use gastroprotection and close bleeding monitoring only when benefit clearly outweighs risk.,BNF Interactions A-Z: anticoagulant/NSAID or antiplatelet interaction; Beers 2023 Table 2/5 anticoagulant-NSAID bleeding caution.,https://bnf.nice.org.uk/interactions/dabigatran/
warfarin,clarithromycin,major,"The interacting drug may inhibit anticoagulant metabolism, alter vitamin K flora, or impair platelet function, raising bleeding risk.","Prefer an alternative; if unavoidable, check INR early and repeatedly and adjust anticoagulant dose.","BNF Interactions A-Z: warfarin interactions; Beers 2023 Table 5 warfarin with amiodarone, ciprofloxacin, macrolides, TMP-SMX, SSRIs.",https://bnf.nice.org.uk/interactions/warfarin/
warfarin,erythromycin,major,"The interacting drug may inhibit anticoagulant metabolism, alter vitamin K flora, or impair platelet function, raising bleeding risk.","Prefer an alternative; if unavoidable, check INR early and repeatedly and adjust anticoagulant dose.","BNF Interactions A-Z: warfarin interactions; Beers 2023 Table 5 warfarin with amiodarone, ciprofloxacin, macrolides, TMP-SMX, SSRIs.",https://bnf.nice.org.uk/interactions/warfarin/
warfarin,ciprofloxacin,major,"The interacting drug may inhibit anticoagulant metabolism, alter vitamin K flora, or impair platelet function, raising bleeding risk.","Prefer an alternative; if unavoidable, check INR early and repeatedly and adjust anticoagulant dose.","BNF Interactions A-Z: warfarin interactions; Beers 2023 Table 5 warfarin with amiodarone, ciprofloxacin, macrolides, TMP-SMX, SSRIs.",https://bnf.nice.org.uk/interactions/warfarin/
warfarin,levofloxacin,major,"The interacting drug may inhibit anticoagulant metabolism, alter vitamin K flora, or impair platelet function, raising bleeding risk.","Prefer an alternative; if unavoidable, check INR early and repeatedly and adjust anticoagulant dose.","BNF Interactions A-Z: warfarin interactions; Beers 2023 Table 5 warfarin with amiodarone, ciprofloxacin, macrolides, TMP-SMX, SSRIs.",https://bnf.nice.org.uk/interactions/warfarin/
warfarin,metronidazole,major,"The interacting drug may inhibit anticoagulant metabolism, alter vitamin K flora, or impair platelet function, raising bleeding risk.","Prefer an alternative; if unavoidable, check INR early and repeatedly and adjust anticoagulant dose.","BNF Interactions A-Z: warfarin interactions; Beers 2023 Table 5 warfarin with amiodarone, ciprofloxacin, macrolides, TMP-SMX, SSRIs.",https://bnf.nice.org.uk/interactions/warfarin/
warfarin,trimethoprim-sulfamethoxazole,major,"The interacting drug may inhibit anticoagulant metabolism, alter vitamin K flora, or impair platelet function, raising bleeding risk.","Prefer an alternative; if unavoidable, check INR early and repeatedly and adjust anticoagulant dose.","BNF Interactions A-Z: warfarin interactions; Beers 2023 Table 5 warfarin with amiodarone, ciprofloxacin, macrolides, TMP-SMX, SSRIs.",https://bnf.nice.org.uk/interactions/warfarin/
